RegionName,datesubstr,ZHVI_sfr,ZHVI_all,ZHVI_1br,ZHVI_2br,ZHVI_3br,ZHVI_4br,ZHVI_5br,ZHVI_con,ZHVI_sfr_CL,ZHVI_all_CL,ZHVI_1br_CL,ZHVI_2br_CL,ZHVI_3br_CL,ZHVI_4br_CL,ZHVI_5br_CL,ZHVI_con_CL
08609,2000-01,118872.75118765005,121201.14819394264,,,83500.41933944167,99847.54396080467,,,268798.28292208567,269118.5235915768,,258457.92466377415,214803.03838380368,272344.9224240964,326678.50251343864,222145.77963273553
08609,2000-12,104821.54970392163,106953.82192478931,,,74492.62659190841,92065.56285746816,,,258655.91410017677,259125.7591386014,,256111.16616601052,210626.06975466313,263853.33545388514,321658.7223426399,220868.87863609128
08609,2001-01,105140.02931916938,107270.92471628031,,,74740.00594018647,92181.1385707939,,,258023.89043875347,258519.21109193075,,253969.79264854864,210371.67083866743,263045.50050283264,318894.94105234393,220833.57723646486
08609,2001-02,105747.8435924951,107871.514723491,,,74961.13648129253,92898.38706986433,,,258363.57400722522,258877.2199487025,,252649.11220389893,210638.9666765346,263677.6102536653,319148.59741852205,221382.47378864384
08609,2000-02,115847.8128396143,118100.39997753083,,,82046.19183009933,98325.87761491751,,,266060.5137287579,266385.64047838695,,256352.7510756473,213322.36635593665,270707.13925695047,325472.92384236044,220403.18541002765
08609,2000-03,113952.86552492273,116173.48729563065,,,81007.31181170061,97363.97369205538,,,263766.3658943469,264101.823348663,,255431.32820696113,212239.15748897576,268986.5205466016,323829.70958247397,219303.1738641468
08609,2000-04,111854.26198754733,114057.12268763827,,,80057.32194960587,97013.99420549409,,,263541.29861107346,263889.5814135127,,258829.28961341074,212943.19906079498,270053.6911973976,325967.57126136223,219922.86314693163
08609,2000-05,110639.157528258,112852.2769428895,,,79244.3742473204,96488.9793374648,,,263744.2473111609,264097.3990105478,,262766.6640342801,213475.0897611365,270438.0898938993,327205.56541989563,220702.43738190897
08609,2000-06,108046.2634909993,110236.75970153001,,,76839.03518088919,94807.2028649931,,,262191.1458014649,262550.0759439889,,262993.87048990023,211941.50314967887,269381.1111118823,325765.6670022713,219960.4601989196
08609,2000-07,105642.08538446955,107786.05869042696,,,74476.10696053985,93376.82854881915,,,260502.63412217642,260880.1069165495,,259516.98221954438,210485.14139224423,268632.5799368171,324794.6805238641,219559.79135857872
