PLAT,LotCoverage
R05749,77.1
R05756,19.6
R05766,17.1
R05781,8.8
R05782,9.5
R05784,16.2
R05788,17.1
R05791,11.1
R05793,11.7
R05796,15.1
R05804,15.6
R05813,12.5
R05817,23.3
R05820,25.7
R05823,11.2
R05826,13.9
R05828,62.2
R05830,10.9
R05835,15.4
R05838,19.1
R05841,10.7
R05842,14.4
R05845,13.1
R05846,68.7
R05850,29.3
R05858,18.3
R05860,21.8
R05863,14.4
R05876,20.8
R05886,25.5
R05887,11.0
R05891,89.6
R05900,21.7
R05902,11.4
R05903,11.7
R05907,24.3
R05914,15.9
R05929,11.8
R05931,14.8
R05935,19.0
R05947,10.9
R05952,14.0
R05959,18.4
R05960,18.5
R05967,20.4
R05976,15.2
R05977,18.8
R05978,18.1
R05986,22.2
R05996,16.8
R06012,17.3
R06021,10.8
R06022,11.5
R06025,16.3
R06027,23.8
R06030,26.3
R06044,17.3
R06046,18.4
R06048,10.9
R06054,19.8
R06055,24.5
R06066,15.9
R06070,18.4
R06073,13.5
R06075,5.6
R06077,23.8
R06078,20.5
R06088,10.6
R06089,22.6
R06097,17.6
R06098,21.5
R06112,21.1
R06120,17.7
R06121,23.7
R06138,18.1
R06145,18.7
R06153,24.6
R06154,18.6
R06158,19.4
R06163,10.2
R06164,17.6
R06172,17.3
R06177,18.4
R06178,17.9
R06180,21.4
R06184,6.3
R06185,13.3
R06188,15.3
R06189,15.9
R06190,20.7
R06191,15.0
R06193,19.9
R06199,13.9
R06200,20.5
R06203,18.0
R06212,13.9
R06224,17.4
R06225,20.7
R06229,19.6
R06232,17.7
R06233,14.0
R06253,9.5
R06255,9.4
R06256,19.1
R06258,15.3
R06264,18.5
R06267,24.4
R06269,49.2
R06270,19.5
R06271,17.0
R06272,8.1
R06273,21.9
R06280,19.3
R06281,22.0
R06282,22.0
R06283,14.5
R06288,15.9
R06290,92.7
R06297,15.0
R06298,19.6
R06301,19.2
R06302,23.4
R06310,19.4
R06311,26.3
R06315,22.4
R06318,14.4
R06320,6.8
R06321,13.5
R06323,15.2
R06331,18.8
R06332,16.3
R06342,20.4
R06343,8.3
R06356,66.5
R06360,11.8
R06366,13.5
R06367,20.4
R06369,15.1
R06370,13.3
R06380,16.8
R06381,17.5
R06382,16.9
R06385,32.1
R06387,12.6
R06393,55.5
R06397,12.1
R06398,17.7
R06400,39.4
R06401,17.0
R06402,17.2
R06403,19.1
R06408,15.2
R06411,21.5
R06419,23.2
R06423,21.0
R06425,18.7
R06428,21.9
R06430,15.5
R06433,30.8
R06437,10.8
R06439,22.3
R06440,65.4
R06441,21.3
R06443,18.5
R06458,12.0
R06470,17.8
R06471,17.5
R06472,20.7
R06475,17.7
R06479,26.8
R06481,23.0
R06490,18.1
R06493,9.9
R06496,12.0
R06498,19.6
R06505,11.0
R06509,10.1
R06513,7.0
R06517,8.5
R06540,18.0
R06544,21.6
R06546,11.5
R06547,20.1
R06548,16.9
R06551,18.5
R06556,8.2
R06559,20.6
R06565,15.2
R06568,22.5
R06575,14.6
R06577,20.4
R06582,68.0
R06584,16.6
R06585,12.6
R06601,5.8
R06602,17.1
R06611,16.2
R06617,12.9
R06622,18.3
R06623,16.8
R06625,13.1
R06638,19.2
R06639,24.7
R06643,20.7
R06650,21.2
R06651,20.5
R06652,6.9
R06659,13.3
R06660,12.1
R06661,20.0
R06665,7.4
R06671,11.1
R06674,22.9
R06675,27.3
R06678,22.7
R06680,22.0
R06681,17.2
R06682,17.3
R06685,23.7
R06686,10.6
R06701,12.4
R06703,20.6
R06720,17.1
R06721,24.5
R06722,19.4
R06725,14.5
R06726,13.9
R06734,13.1
R06739,26.9
R06769,30.5
R06771,15.1
R06776,12.4
R06777,12.7
R06779,21.0
R06780,11.8
R06781,13.9
R06785,27.4
R06798,24.9
R06799,51.5
R06805,24.9
R06806,18.6
R06809,13.1
R06813,16.6
R06815,16.6
R06817,15.0
R06818,15.7
R06827,15.2
R06828,103.1
R06831,14.6
R06832,10.5
R06859,21.2
R06861,85.9
R06862,99.6
R06865,19.6
R06866,23.2
R06867,22.5
R06869,78.9
R06885,12.5
R06886,27.1
R06889,11.4
R06890,36.8
R06896,9.4
R06897,18.2
R06898,14.0
R06901,13.1
R06902,29.1
R06905,14.8
R06909,15.7
R06911,8.6
R06915,7.7
R06925,25.0
R06932,18.3
R06933,56.6
R06935,22.4
R06943,16.6
R06945,30.0
R06946,17.2
R06947,20.5
R06948,18.4
R06955,27.4
R06956,5.5
R06973,25.6
R06980,23.2
R06983,22.8
R06985,20.3
R06993,11.2
R06996,24.1
R07005,12.2
R07007,20.3
R07014,129.9
R07015,28.5
R07016,36.4
R07017,11.1
R07018,15.5
R07021,8.4
R07036,26.1
R07039,7.4
R07050,59.6
R07051,18.7
R07054,19.5
R07061,22.7
R07063,30.5
R07064,27.5
R07067,11.9
R07068,86.2
R07074,12.4
R07086,33.2
R07088,20.9
R07091,19.8
R07092,13.0
R07094,23.2
R07095,14.5
R07097,16.7
R07098,9.0
R07100,90.5
R07103,9.1
R07106,27.9
R07107,18.6
R07110,11.7
R07116,22.0
R07125,32.6
R07126,25.4
R07127,17.9
R07130,4.0
R07140,17.0
R07150,80.8
R07152,11.0
R07153,21.5
R07154,25.9
R07160,16.2
R07169,9.0
R07170,13.4
R07171,13.7
R07175,19.8
R07180,12.4
R07182,25.0
R07183,18.0
R07184,18.8
R07185,18.9
R07186,6.7
R07190,23.4
R07195,19.6
R07199,22.7
R07205,8.6
R07214,19.7
R07224,16.9
R07231,23.9
R07232,22.8
R07236,17.1
R07241,22.3
R07245,15.6
R07250,15.1
R07252,18.0
R07255,20.2
R07256,25.5
R07270,18.5
R07271,15.3
R07274,97.3
R07275,7.8
R07278,14.6
R07282,19.4
R07284,11.8
R07286,23.4
R07287,21.7
R07288,19.9
R07290,33.0
R07291,17.3
R07295,15.6
R07296,18.8
R07301,32.6
R07304,16.8
R07306,16.6
R07307,14.4
R07317,22.0
R07319,15.6
R07320,85.7
R07323,15.8
R07326,8.6
R07328,18.9
R07335,17.7
R07336,13.4
R07343,19.7
R07348,22.4
R07356,18.7
R07357,17.6
R07358,17.8
R07363,55.5
R07369,8.2
R07380,21.2
R07387,21.9
R07389,20.0
R07393,18.4
R07397,7.9
R07398,20.3
R07401,11.1
R07404,28.9
R07405,21.9
R07408,19.1
R07409,11.0
R07413,28.3
R07414,23.4
R07415,21.5
R07418,19.5
R07421,21.5
R07422,22.4
R07423,24.0
R07424,17.1
R07425,14.3
R07430,27.1
R07432,21.0
R07437,14.2
R07438,11.8
R07440,23.3
R07443,21.1
R07444,22.3
R07446,14.1
R07449,17.4
R07452,28.1
R07454,26.7
R07458,93.5
R07462,17.9
R07465,98.9
R07467,20.0
R07468,15.2
R07473,16.3
R07479,25.4
R07480,21.3
R07481,21.4
R07487,26.9
R07490,16.6
R07492,93.9
R07494,12.2
R07502,22.4
R07506,20.9
R07507,25.4
R07509,4.8
R07510,19.2
R07513,11.8
R07515,19.9
R07517,20.3
R07523,5.2
R07529,19.8
R07533,22.5
R07539,18.6
R07540,25.9
R07542,41.9
R07546,12.3
R07548,10.4
R07550,27.3
R07551,29.1
R07553,94.1
R07554,133.6
R07555,131.1
R07557,14.6
R07558,19.0
R07559,29.9
R07560,21.0
R07566,12.3
R07568,19.4
R07570,13.1
R07574,23.2
R07579,19.9
R07580,20.0
R07581,14.7
R07583,21.4
R07589,22.3
R07591,94.4
R07594,21.6
R07596,21.0
R07599,18.5
R07600,19.2
R07601,21.9
R07602,11.1
R07606,17.0
R07611,11.6
R07614,10.1
R07615,27.5
R07616,23.7
R07617,25.9
R07618,8.9
R07623,40.4
R07625,19.7
R07626,12.2
R07629,14.2
R07630,13.0
R07631,94.1
R07633,131.4
R07654,13.6
R07661,23.0
R07662,17.4
R07663,22.6
R07664,25.3
R07674,131.4
R07675,15.6
R07676,7.9
R07684,18.7
R07685,53.8
R07686,32.0
R07689,23.5
R07694,5.5
R07703,21.1
R07706,18.8
R07713,92.6
R07714,15.3
R07717,25.0
R07719,16.9
R07727,11.3
R07728,19.8
R07733,14.0
R07740,24.2
R07743,18.5
R07744,19.5
R07745,21.3
R07749,26.3
R07751,23.9
R07752,20.0
R07757,9.8
R07764,23.5
R07766,26.3
R07767,16.6
R07768,13.7
R07770,21.7
R07771,10.0
R07772,23.1
R07775,13.3
R07778,21.1
R07779,40.8
R07780,18.7
R07789,19.5
R07792,61.8
R07797,26.7
R07798,27.9
R07800,9.4
R07801,12.3
R07802,14.2
R07804,17.3
R07805,12.1
R07808,15.0
R07809,89.0
R07811,29.8
R07812,21.1
R07814,7.6
R07815,19.9
R07818,23.3
R07822,16.3
R07830,21.6
R07832,28.5
R07843,12.3
R07845,26.2
R07846,21.0
R07848,26.7
R07851,22.9
R07852,27.4
R07853,22.4
R07857,24.4
R07858,13.9
R07869,19.4
R07870,20.4
R07871,13.2
R07874,27.5
R07877,21.1
R07878,19.2
R07880,18.8
R07884,7.9
R07894,16.0
R07899,14.2
R07901,10.3
R07905,12.3
R07907,15.6
R07908,14.1
R07910,13.3
R07914,93.2
R07921,13.3
R07922,10.1
R07925,18.9
R07926,21.1
R07929,20.3
R07937,11.9
R07947,9.3
R07956,19.2
R07957,23.2
R07958,12.9
R07962,14.7
R07967,10.6
R07973,22.8
R07980,17.7
R07983,14.4
R07984,94.1
R07985,18.4
R07986,16.6
R07990,20.2
R07991,8.5
R07996,10.0
R08004,21.9
R08010,18.6
R08013,25.5
R08023,28.7
R08033,15.6
R08040,18.1
R08041,12.6
R08051,34.2
R08054,18.4
R08057,20.0
R08064,13.6
R08081,14.5
R08082,45.2
R08088,39.9
R08100,7.2
R08101,19.1
R08109,18.0
R08110,20.8
R08115,23.5
R08116,18.5
R08117,16.8
R08121,15.2
R08122,19.4
R08125,28.3
R08126,18.2
R08130,16.0
R08140,21.1
R08143,28.8
R08147,9.7
R08159,20.4
R08165,11.1
R08168,18.3
R08169,12.4
R08174,20.1
R08190,18.7
R08196,19.7
R08215,18.8
R08217,31.0
R08223,50.6
R08224,48.7
R08228,18.4
R08238,50.4
R08239,50.9
R08240,40.3
R08241,50.5
R08242,14.3
R08248,15.3
R08251,100.6
R08255,11.0
R08256,14.7
R08257,12.5
R08258,12.5
R08261,15.7
R08262,9.5
R08272,25.6
R08279,10.9
R08283,18.0
R08293,9.0
R08294,21.9
R08295,13.3
R08298,40.8
R08302,19.9
R08303,13.6
R08306,14.6
R08308,7.8
R08309,16.4
R08314,45.5
R08316,14.0
R08318,15.1
R08320,40.7
R08321,12.6
R08323,22.7
R08326,21.4
R08327,21.6
R08332,19.7
R08334,23.8
R08335,25.1
R08336,13.2
R08338,7.0
R08341,22.2
R08349,20.9
R08353,42.7
R08359,38.5
R08361,30.2
R08364,21.1
R08365,27.0
R08370,25.3
R08371,18.7
R08376,8.7
R08377,20.9
R08381,14.3
R08396,19.4
R08397,18.5
R08401,25.0
R08407,21.8
R08409,17.2
R08411,20.0
R08412,12.3
R08416,25.2
R08417,22.6
R08431,21.6
R08433,19.4
R08436,79.7
R08437,94.4
R08440,16.4
R08442,80.4
R08448,11.8
R08452,50.8
R08455,25.6
R08457,14.9
R08461,14.8
R08462,14.7
R08464,9.8
R08465,14.1
R08467,21.4
R08469,17.1
R08472,37.6
R08473,28.1
R08477,16.4
R08479,11.8
R08480,10.9
R08482,20.6
R08483,22.6
R08484,13.3
R08487,19.5
R08490,15.8
R08491,20.3
R08492,23.8
R08495,16.1
R08496,26.0
R08497,24.2
R08499,13.8
R08502,44.3
R08510,7.2
R08511,22.2
R08513,15.4
R08515,9.7
R08516,22.3
R08517,18.8
R08519,100.4
R08520,15.4
R08521,8.8
R08522,18.8
R08525,20.7
R08526,22.6
R08527,21.4
R08531,19.0
R08532,15.7
R08533,17.8
R08534,19.2
R08535,23.4
R08536,15.9
R08537,26.4
R08539,105.7
R08542,20.5
R08543,46.3
R08545,23.8
R08546,21.5
R08550,12.6
R08552,12.5
R08553,18.6
R08554,19.3
R08555,18.8
R08556,16.0
R08557,13.9
R08560,16.1
R08562,15.9
R08563,23.1
R08564,15.5
R08571,19.7
R08575,13.0
R08578,64.4
R08583,18.6
R08584,23.2
R08587,49.4
R08588,12.8
R08589,21.0
R08590,21.1
R08593,13.3
R08594,12.1
R08595,37.2
R08596,22.0
R08598,19.6
R08599,19.1
R08601,15.1
R08603,18.2
R08604,21.2
R08605,34.0
R08606,12.8
R08608,24.2
R08609,10.7
R08610,6.7
R08611,30.2
R08612,40.9
R08613,9.1
R08615,18.3
R08621,20.6
R08624,20.7
R08626,16.3
R08627,23.5
R08628,25.0
R08629,11.6
R08630,98.6
R08631,17.2
R08632,18.2
R08633,17.1
R08634,12.4
R08635,16.4
R08637,23.6
R08640,24.1
R08643,21.7
R08644,22.4
R08645,19.8
R08647,7.4
R08649,20.7
R08650,19.2
R08651,6.4
R08653,24.8
R08656,11.4
R08657,18.5
R08659,21.5
R08662,24.2
R08665,93.0
R08667,7.0
R08674,19.5
R08677,38.8
R08678,40.2
R08680,25.7
R08681,17.1
R08682,77.4
R08686,19.4
R08691,23.3
R08692,10.3
R08693,20.9
R08694,11.7
R08698,20.6
R08701,21.0
R08705,17.3
R08708,8.6
R08709,9.7
R08713,20.0
R08714,27.0
R08721,25.0
R08723,13.7
R08724,22.9
R08725,11.4
R08726,12.1
R08728,15.2
R08729,18.8
R08733,17.3
R08736,25.3
R08737,21.1
R08738,20.8
R08740,8.9
R08745,21.0
R08747,17.3
R08748,8.2
R08749,7.5
R08750,25.4
R08751,15.4
R08754,18.7
R08755,8.5
R08756,8.0
R08757,13.7
R08758,16.4
R08761,20.8
R08767,15.2
R08777,100.7
R08778,14.4
R08783,22.1
R08785,11.5
R08786,10.3
R08787,9.8
R08789,19.2
R08790,22.2
R08791,19.9
R08792,16.9
R08793,8.2
R08795,48.6
R08796,15.1
R08797,23.4
R08798,25.8
R08801,99.9
R08802,98.1
R08807,23.1
R08808,15.9
R08809,15.3
R08810,12.4
R08811,18.0
R08812,15.8
R08813,26.7
R08814,25.3
R08815,14.5
R08816,23.2
R08817,18.5
R08819,12.8
R08820,23.8
R08823,20.3
R08826,14.1
R08827,17.2
R08831,13.4
R08832,20.8
R08836,19.3
R08838,6.4
R08841,9.4
R08842,10.5
R08844,25.9
R08846,23.4
R08853,21.1
R08854,12.8
R08856,7.7
R08859,7.0
R08862,16.4
R08871,38.1
R08873,9.0
R08874,16.6
R08876,13.5
R08877,23.0
R08879,9.3
R08880,35.4
R08884,16.4
R08890,40.1
R08891,35.4
R08893,6.2
R08894,10.2
R08895,18.8
R08896,20.8
R08900,23.0
R08902,13.8
R08903,24.2
R08904,22.6
R08907,25.1
R08908,12.0
R08912,20.5
R08913,35.7
R08914,24.8
R08916,15.6
R08918,21.4
R08920,7.3
R08922,11.5
R08924,13.0
R08930,119.3
R08931,97.2
R08932,21.6
R08934,21.9
R08936,31.1
R08948,60.9
R08949,20.8
R08951,15.6
R08952,30.1
R08954,24.2
R08955,21.1
R08956,21.8
R08957,18.1
R08959,26.4
R08962,100.0
R08964,39.7
R08967,13.5
R08970,19.2
R08971,11.3
R08974,18.7
R08978,94.2
R08979,9.8
R08981,50.4
R08983,21.0
R08984,8.9
R08985,23.9
R08986,18.2
R08988,18.8
R08991,9.2
R08992,19.6
R08996,11.5
R08998,9.6
R09001,17.7
R09003,8.6
R09005,15.5
R09006,24.8
R09007,15.3
R09008,21.9
R09012,6.4
R09015,23.3
R09021,35.8
R09023,17.0
R09025,11.6
R09026,21.5
R09029,16.1
R09030,17.0
R09035,44.8
R09038,23.8
R09040,11.0
R09042,16.0
R09045,20.5
R09046,10.3
R09047,20.1
R09048,17.8
R09052,18.4
R09056,22.6
R09057,21.0
R09058,7.4
R09060,73.1
R09062,30.7
R09070,12.5
R09071,84.0
R09072,83.9
R09074,12.4
R09084,22.8
R09086,12.8
R09089,19.1
R09090,12.0
R09091,24.1
R09094,13.8
R09096,8.1
R09097,18.7
R09099,11.5
R09110,22.4
R09115,17.9
R09116,35.9
R09120,19.4
R09122,6.6
R09126,5.7
R09127,18.3
R09133,15.8
R09134,21.6
R09135,22.9
R09138,30.3
R09143,19.9
R09144,10.1
R09148,18.8
R09152,39.4
R09153,13.9
R09156,20.0
R09157,48.6
R09158,70.3
R09159,15.2
R09162,19.9
R09163,19.3
R09165,11.7
R09166,10.4
R09173,19.4
R09174,17.6
R09175,11.9
R09179,10.0
R09180,51.2
R09181,46.6
R09183,21.3
R09188,17.9
R09189,24.4
R09192,8.9
R09193,6.6
R09194,7.6
R09197,18.6
R09200,27.0
R09201,19.2
R09203,10.9
R09204,24.6
R09208,13.0
R09212,19.5
R09214,18.3
R09222,33.6
R09223,21.0
R09224,29.7
R09228,23.3
R09229,5.9
R09230,18.1
R09231,29.2
R09234,26.5
R09235,13.1
R09251,61.9
R09252,57.0
R09255,16.1
R09256,19.4
R09264,35.0
R09266,13.6
R09271,20.5
R09273,8.1
R09278,25.1
R09282,19.5
R09287,27.7
R09288,22.5
R09289,26.1
R09290,23.5
R09291,25.6
R09296,15.2
R09299,17.4
R09301,19.3
R09302,20.2
R09307,18.0
R09308,21.6
R09313,15.4
R09315,20.9
R09317,33.1
R09319,16.3
R09320,70.3
R09322,10.3
R09324,33.7
R09325,10.2
R09327,21.6
R09328,7.3
R09329,21.6
R09331,13.1
R09332,6.2
R09337,22.3
R09339,96.2
R09343,15.7
R09345,10.5
R09351,17.0
R09352,21.1
R09353,13.7
R09358,13.8
R09367,17.7
R09368,16.0
R09370,16.1
R09374,19.1
R09375,19.5
R09383,20.0
R09384,35.4
R09389,22.4
R09391,21.3
R09393,26.6
R09394,15.5
R09397,19.9
R09398,18.1
R09400,16.1
R09402,66.9
R09404,7.0
R09409,24.7
R09410,22.4
R09411,22.3
R09418,33.8
R09419,23.3
R09426,26.0
R09427,48.0
R09429,24.9
R09430,21.1
R09432,12.3
R09439,9.9
R09440,29.4
R09446,16.1
R09447,24.6
R09448,20.8
R09449,30.8
R09450,62.8
R09458,24.7
R09460,22.2
R09467,18.1
R09470,21.8
R09472,17.1
R09476,9.0
R09477,11.2
R09478,13.9
R09485,18.3
R09487,19.6
R09489,24.1
R09490,21.2
R09491,21.3
R09494,9.3
R09495,20.3
R09496,11.9
R09497,27.4
R09498,22.9
R09500,23.8
R09504,10.5
R09507,19.7
R09511,6.6
R09514,17.9
R09516,10.1
R09524,7.6
R09527,18.4
R09528,15.2
R09529,20.8
R09530,18.2
R09534,21.7
R09537,33.8
R09538,9.5
R09541,36.0
R09543,15.7
R09546,22.7
R09551,31.4
R09552,17.1
R09553,21.3
R09554,11.5
R09557,32.1
R09564,12.5
R09565,22.9
R09566,23.0
R09573,18.5
R09578,21.4
R09582,26.4
R09584,20.6
R09585,20.3
R09586,20.1
R09591,21.7
R09593,20.9
R09596,22.1
R09599,14.7
R09602,50.5
R09604,8.9
R09607,33.1
R09611,10.8
R09621,14.4
R09629,22.1
R09633,25.0
R09635,10.6
R09636,100.4
R09637,22.6
R09655,26.5
R09656,21.4
R09657,27.4
R09659,17.8
R09660,15.7
R09661,17.9
R09662,59.1
R09663,23.2
R09666,9.5
R09668,20.7
R09669,5.6
R09676,7.6
R09678,24.9
R09679,20.0
R09682,7.3
R09683,22.2
R09685,21.8
R09690,7.1
R09694,7.0
R09695,5.8
R09696,23.8
R09697,7.4
R09700,23.7
R09701,67.6
R09703,7.4
R09709,13.0
R09711,11.0
R09713,47.7
R09716,22.4
R09719,21.6
R09723,18.8
R09727,33.1
R09737,23.8
R09742,22.7
R09744,20.8
R09746,35.6
R09747,22.3
R09750,21.2
R09751,24.8
R09752,10.8
R09753,16.0
R09756,26.8
R09757,8.5
R09763,19.7
R09769,34.9
R09774,22.9
R09780,11.4
R09782,19.2
R09786,5.3
R09790,18.5
R09791,19.8
R09792,44.5
R09793,101.1
R09796,15.1
R09797,18.6
R09798,15.9
R09800,15.4
R09801,40.7
R09802,12.2
R09810,23.5
R09812,21.0
R09813,16.3
R09823,11.3
R09828,17.6
R09829,24.4
R09833,10.1
R09838,6.2
R09839,21.5
R09840,13.4
R09846,27.9
R09850,22.7
R09861,17.7
R09864,13.8
R09869,19.1
R09874,41.0
R09875,19.8
R09877,40.1
R09879,13.6
R09880,12.1
R09885,21.1
R09886,12.0
R09890,19.8
R09893,19.5
R09900,20.0
R09903,9.3
R09904,25.9
R09906,24.0
R09908,12.4
R09913,20.8
R09918,20.3
R09919,21.6
R09928,28.9
R09929,21.6
R09932,6.9
R09937,16.6
R09941,17.1
R09942,28.9
R09945,95.2
R09947,17.6
R09948,12.2
R09954,61.6
R09957,19.1
R09958,22.4
R09960,13.9
R09964,11.6
R09965,12.0
R09967,22.4
R09971,19.1
R09973,22.0
R09980,12.4
R09983,14.3
R09984,19.1
R09987,29.3
R09988,20.5
R09993,19.7
R09994,24.4
R09998,34.0
R10003,14.5
R10004,22.2
R10008,23.1
R10010,18.0
R10015,21.9
R10017,8.7
R10022,36.1
R10023,9.5
R10025,7.2
R10027,10.8
R10029,19.2
R10030,21.2
R10031,22.3
R10032,22.7
R10033,8.9
R10036,21.4
R10044,7.5
R10047,17.3
R10052,18.1
R10053,19.4
R10055,19.8
R10061,23.9
R10062,22.0
R10065,32.6
R10066,94.3
R10073,19.9
R10074,23.2
R10075,62.2
R10076,22.4
R10080,21.6
R10082,20.0
R10083,25.0
R10086,31.1
R10088,19.4
R10092,10.9
R10093,9.9
R10096,20.2
R10097,20.1
R10098,21.5
R10099,21.5
R10100,21.9
R10101,8.9
R10102,11.0
R10103,13.5
R10104,18.1
R10105,16.2
R10106,26.1
R10109,33.8
R10110,20.0
R10112,21.2
R10115,13.4
R10121,11.0
R10128,77.4
R10136,22.7
R10139,23.6
R10141,21.6
R10142,21.7
R10143,23.7
R10144,21.6
R10145,7.1
R10146,7.7
R10147,24.0
R10151,22.0
R10152,33.2
R10160,23.2
R10161,79.3
R10163,19.2
R10165,92.3
R10168,12.0
R10169,19.3
R10170,22.4
R10172,16.9
R10174,19.7
R10178,9.2
R10179,11.3
R10181,23.5
R10184,92.3
R10185,25.5
R10191,20.3
R10195,69.9
R10196,39.0
R10197,19.5
R10199,19.9
R10202,21.9
R10203,21.3
R10204,8.0
R10207,21.2
R10210,21.5
R10211,43.3
R10212,20.3
R10220,10.6
R10222,22.5
R10223,19.8
R10224,21.1
R10226,16.6
R10228,19.6
R10229,7.7
R10232,11.8
R10233,12.9
R10239,50.0
R10241,19.5
R10244,22.0
R10246,26.3
R10247,6.1
R10250,15.7
R10259,47.7
R10261,16.3
R10263,27.6
R10269,9.2
R10270,8.3
R10271,5.2
R10273,9.0
R10277,15.0
R10280,11.9
R10281,18.8
R10282,94.8
R10289,26.2
R10292,23.6
R10293,20.3
R10294,18.6
R10306,19.0
R10311,16.1
R10313,21.5
R10317,94.5
R10318,27.5
R10321,16.6
R10326,16.0
R10329,21.4
R10335,24.6
R10336,23.5
R10339,16.4
R10341,15.8
R10342,98.9
R10345,16.9
R10346,12.6
R10348,17.6
R10349,11.0
R10350,9.0
R10353,21.8
R10354,22.2
R10361,94.1
R10363,21.8
R10364,78.9
R10366,73.4
R10373,23.2
R10374,21.6
R10377,62.1
R10381,20.6
R10382,91.4
R10387,14.1
R10389,22.3
R10390,19.7
R10391,22.1
R10396,96.3
R10398,21.6
R10399,27.4
R10400,27.8
R10401,20.7
R10402,24.1
R10405,20.2
R10408,42.1
R10409,6.6
R10410,10.3
R10417,95.9
R10420,19.6
R10422,8.8
R10434,24.1
R10435,22.1
R10436,20.9
R10437,24.2
R10439,35.3
R10440,24.1
R10442,5.6
R10445,92.1
R10449,28.5
R10453,32.4
R10456,15.9
R10461,22.8
R10465,21.0
R10468,16.4
R10470,37.3
R10474,21.3
R10478,92.1
R10479,22.9
R10481,16.9
R10487,98.5
R10491,9.6
R10492,17.7
R10496,23.8
R10498,10.5
R10499,7.9
R10503,19.6
R10504,23.2
R10509,23.5
R10513,19.5
R10518,14.4
R10519,8.1
R10520,6.7
R10521,6.8
R10522,94.3
R10523,22.6
R10524,22.2
R10525,20.5
R10527,98.5
R10529,8.9
R10530,12.5
R10533,16.8
R10543,15.6
R10544,21.9
R10546,10.7
R10554,15.7
R10556,19.8
R10559,7.5
R10560,12.6
R10564,24.0
R10569,28.2
R10574,17.3
R10580,19.1
R10583,10.0
R10586,95.0
R10587,93.3
R10589,23.9
R10590,23.2
R10593,12.4
R10594,49.8
R10596,6.5
R10597,21.6
R10603,12.4
R10604,23.5
R10620,16.1
R10622,17.0
R10625,23.6
R10626,10.7
R10628,24.1
R10629,21.3
R10630,29.4
R10631,62.0
R10632,23.0
R10633,24.1
R10634,21.5
R10636,40.2
R10639,9.2
R10640,93.5
R10641,25.2
R10642,21.5
R10644,10.0
R10646,19.5
R10649,55.9
R10650,14.1
R10656,93.3
R10660,97.9
R10665,19.9
R10666,93.4
R10667,18.2
R10668,20.3
R10670,15.7
R10672,12.6
R10673,18.5
R10675,10.7
R10679,19.3
R10681,17.2
R10682,25.0
R10684,19.4
R10686,93.2
R10688,33.9
R10689,32.3
R10693,7.5
R10694,24.1
R10698,21.3
R10700,85.1
R10704,22.0
R10708,22.0
R10712,19.7
R10715,93.2
R10716,21.3
R10717,9.7
R10721,20.1
R10722,19.4
R10723,21.6
R10724,13.9
R10730,13.9
R10731,15.8
R10735,15.1
R10738,20.6
R10741,21.7
R10742,21.7
R10743,22.3
R10746,98.8
R10748,9.4
R10751,26.5
R10754,20.3
R10761,93.0
R10764,18.8
R10768,11.1
R10769,21.1
R10770,26.5
R10775,23.6
R10777,13.2
R10790,10.4
R10791,20.8
R10797,26.9
R10800,24.3
R10801,22.8
R10802,24.2
R10803,21.6
R10804,20.6
R10805,21.5
R10806,20.6
R10807,20.9
R10808,25.8
R10809,27.2
R10810,26.5
R10811,23.6
R10812,27.2
R10813,23.2
R10814,23.7
R10815,27.0
R10816,26.5
R10817,27.9
R10818,21.0
R10819,5.0
R10820,100.6
R10822,22.5
R10823,28.6
R10824,24.4
R10825,22.5
R10826,97.7
R10827,7.8
R10829,27.9
R10834,26.9
R10839,22.6
R10842,8.2
R10844,26.4
R10845,19.8
R10847,23.1
R10850,23.3
R10855,23.3
R10856,20.6
R10861,63.0
R10862,23.1
R10863,62.2
R10865,24.1
R10866,100.8
R10867,100.7
R10868,12.5
R10869,25.9
R10870,93.2
R10871,95.0
R10874,8.0
R10875,18.5
R10879,8.3
R10881,6.2
R10882,22.5
R10884,13.1
R10895,7.5
R10896,22.9
R10898,14.4
R10901,12.8
R10906,12.6
R10907,15.8
R10908,29.9
R10909,94.4
R10918,3.9
R10919,9.8
R10922,22.1
R10923,18.5
R10924,20.4
R10925,22.7
R10926,21.8
R10928,79.6
R10929,93.8
R10935,32.5
R10943,23.6
R10945,24.5
R10948,18.3
R10949,16.4
R10950,5.4
R10951,5.0
R10952,94.0
R10953,22.0
R10954,25.4
R10961,19.0
R10962,21.0
R10964,30.7
R10969,93.7
R10970,17.3
R10972,19.5
R10979,96.4
R10981,21.8
R10985,8.0
R10986,22.8
R10987,25.3
R10990,12.1
R10991,88.5
R10994,22.1
R10997,21.0
R10999,18.3
R11000,33.8
R11001,32.2
R11005,23.8
R11008,13.5
R11010,23.1
R11013,23.0
R11014,23.9
R11015,27.4
R11017,22.5
R11019,46.3
R11021,19.4
R11022,24.5
R11023,22.6
R11024,6.8
R11028,82.9
R11031,26.8
R11033,11.8
R11035,95.2
R11039,13.0
R11040,23.2
R11045,24.6
R11047,97.3
R11048,15.8
R11049,18.3
R11050,21.2
R11052,4.4
R11054,19.5
R11058,94.2
R11059,11.8
R11065,21.1
R11067,67.6
R11070,14.5
R11071,17.2
R11072,19.2
R11073,19.5
R11074,19.0
