RegionName,year,Total_Households,Pct_200k,Re_med_inc,Re_mean_inc,Tot_Pop_16,LFP_Pop_16,EPR_Pop_16,UER_Pop_16,avg_comm
80903,2015.0,6930.0,0.9,29501.489998431538,42632.78477544832,13563.0,63.6,54.9,11.4,18.3
80903,2015.0,6930.0,0.9,29501.36606029666,42632.605671686775,13563.0,63.6,54.9,11.4,18.3
80903,2005.0,,,,,,,,,
80903,2008.0,,,,,,,,,
80903,2015.0,6930.0,0.9,29464.184619832147,42578.87454322347,13563.0,63.6,54.9,11.4,18.3
80903,2015.0,6930.0,0.9,29499.38305013855,42629.74001150207,13563.0,63.6,54.9,11.4,18.3
80903,2015.0,6930.0,0.9,29467.65488760883,42583.88944854671,13563.0,63.6,54.9,11.4,18.3
80903,2016.0,6973.0,1.6,32699.249964478917,46660.215040641655,13652.0,64.5,56.1,10.5,18.681
80903,2019.0,7095.0,3.3,42090.966291568126,60388.56082593439,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42188.10702948404,60527.93014617464,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42226.69944488697,60583.29928188979,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42291.679836633775,60676.52765570076,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42411.25035444198,60848.077328322455,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42530.655947398045,61019.39038070606,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42654.51451136214,61197.09217951833,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2020.0,7346.0,3.5,46073.880114036525,63201.09498429999,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,46134.38515926055,63284.091795091015,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,45939.34536642074,63016.54913442347,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,45579.162391322396,62522.47400194981,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,45529.69061905099,62454.6119037148,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,45735.407772812694,62736.80106040431,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2000.0,,,,,,,,,
80903,2003.0,,,,,,,,,
80903,2004.0,,,,,,,,,
80903,2004.0,,,,,,,,,
80903,2004.0,,,,,,,,,
80903,2013.0,6692.0,0.5,28664.449437967272,40400.14678726408,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2014.0,6863.0,1.0,29121.21265965267,41623.440642885485,13840.0,63.0,54.9,10.7,17.953
80903,2014.0,6863.0,1.0,29153.26866794399,41669.25883644617,13840.0,63.0,54.9,10.7,17.953
80903,2001.0,,,,,,,,,
80903,2017.0,7078.0,2.8,37293.460949258675,55478.73331139535,14206.0,65.6,58.0,9.0,18.868
80903,2004.0,,,,,,,,,
80903,2004.0,,,,,,,,,
80903,2004.0,,,,,,,,,
80903,2004.0,,,,,,,,,
80903,2005.0,,,,,,,,,
80903,2005.0,,,,,,,,,
80903,2008.0,,,,,,,,,
80903,2018.0,7027.0,3.1,38127.96732675399,55679.14209110005,13851.0,64.5,57.7,8.2,19.69
80903,2018.0,7027.0,3.1,38162.32616043228,55729.31708118183,13851.0,64.5,57.7,8.2,19.69
80903,2008.0,,,,,,,,,
80903,2008.0,,,,,,,,,
80903,2008.0,,,,,,,,,
80903,2018.0,7027.0,3.1,38428.22704584527,56117.618221239456,13851.0,64.5,57.7,8.2,19.69
80903,2019.0,7095.0,3.3,41653.585583668304,59761.04395449611,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2008.0,,,,,,,,,
80903,2008.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2002.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2023.0,,,,,,,,,
80903,2023.0,,,,,,,,,
80903,2023.0,,,,,,,,,
80903,2012.0,6539.0,0.8,27114.466771025873,37908.79087461827,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2012.0,6539.0,0.8,27068.932240534632,37845.1289553726,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2012.0,6539.0,0.8,27065.654690782052,37840.546606429474,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2013.0,6692.0,0.5,28293.19731823508,39876.89793977716,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2023.0,,,,,,,,,
80903,2023.0,,,,,,,,,
80903,2023.0,,,,,,,,,
80903,2023.0,,,,,,,,,
80903,2024.0,,,,,,,,,
80903,2003.0,,,,,,,,,
80903,2013.0,6692.0,0.5,28510.208836907485,40182.75754569303,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2013.0,6692.0,0.5,28520.95560879447,40197.904222857134,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2013.0,6692.0,0.5,28536.2209097703,40219.41938928341,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2013.0,6692.0,0.5,28588.85566753496,40293.60368312118,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2000.0,,,,,,,,,
80903,2000.0,,,,,,,,,
80903,2001.0,,,,,,,,,
80903,2001.0,,,,,,,,,
80903,2017.0,7078.0,2.8,37392.96018009651,55626.75098398015,14206.0,65.6,58.0,9.0,18.868
80903,2017.0,7078.0,2.8,37471.743005729506,55743.95038734897,14206.0,65.6,58.0,9.0,18.868
80903,2018.0,7027.0,3.1,37834.09287763833,55249.99051663956,13851.0,64.5,57.7,8.2,19.69
80903,2008.0,,,,,,,,,
80903,2014.0,6863.0,1.0,29331.00004982178,41923.29329958575,13840.0,63.0,54.9,10.7,17.953
80903,2014.0,6863.0,1.0,29240.525370049734,41793.97631312682,13840.0,63.0,54.9,10.7,17.953
80903,2008.0,,,,,,,,,
80903,2018.0,7027.0,3.1,38042.07024255826,55553.704615895615,13851.0,64.5,57.7,8.2,19.69
80903,2001.0,,,,,,,,,
80903,2018.0,7027.0,3.1,38192.12408698514,55772.83167435009,13851.0,64.5,57.7,8.2,19.69
80903,2018.0,7027.0,3.1,38260.38566362918,55872.515614822296,13851.0,64.5,57.7,8.2,19.69
80903,2018.0,7027.0,3.1,38401.92581475525,56079.20993237155,13851.0,64.5,57.7,8.2,19.69
80903,2002.0,,,,,,,,,
80903,2018.0,7027.0,3.1,38339.289356899244,55987.740481426015,13851.0,64.5,57.7,8.2,19.69
80903,2002.0,,,,,,,,,
80903,2019.0,7095.0,3.3,41778.59862159743,59940.40209497508,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,41936.596629956424,60167.08428307382,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42094.264788611115,60393.29323069638,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2019.0,7095.0,3.3,42104.65505429652,60408.200305696606,14382.0,65.2,59.1,7.5,19.770000000000003
80903,2012.0,6539.0,0.8,26749.956416399364,37399.168210014184,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2009.0,,,,,,,,,
80903,2024.0,,,,,,,,,
80903,2013.0,6692.0,0.5,28442.308778166993,40087.05808542898,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2000.0,,,,,,,,,
80903,2000.0,,,,,,,,,
80903,2000.0,,,,,,,,,
80903,2020.0,7346.0,3.5,46312.87504267144,63528.93238692456,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,46427.83462859709,63686.62632742751,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,46625.36580565201,63957.58650383352,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2021.0,7427.0,5.7,51779.32640954119,72114.46583363833,14974.0,67.6,61.1,7.4,19.846
80903,2014.0,6863.0,1.0,29267.25933835447,41832.18762513109,13840.0,63.0,54.9,10.7,17.953
80903,2014.0,6863.0,1.0,29394.740761289097,42014.3989740404,13840.0,63.0,54.9,10.7,17.953
80903,2014.0,6863.0,1.0,29390.03756316141,42007.6766135952,13840.0,63.0,54.9,10.7,17.953
80903,2014.0,6863.0,1.0,29392.14162548169,42010.68398537332,13840.0,63.0,54.9,10.7,17.953
80903,2008.0,,,,,,,,,
80903,2018.0,7027.0,3.1,37943.25058817379,55409.396016102895,13851.0,64.5,57.7,8.2,19.69
80903,2001.0,,,,,,,,,
80903,2001.0,,,,,,,,,
80903,2021.0,7427.0,5.7,54031.80822428413,75251.55806974435,14974.0,67.6,61.1,7.4,19.846
80903,2021.0,7427.0,5.7,54494.07128327987,75895.36431222878,14974.0,67.6,61.1,7.4,19.846
80903,2021.0,7427.0,5.7,54886.75055834223,76442.25934019973,14974.0,67.6,61.1,7.4,19.846
80903,2001.0,,,,,,,,,
80903,2001.0,,,,,,,,,
80903,2002.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2002.0,,,,,,,,,
80903,2002.0,,,,,,,,,
80903,2002.0,,,,,,,,,
80903,2002.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2012.0,6539.0,0.8,26757.682069387592,37409.96946109442,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2012.0,6539.0,0.8,26913.131571938655,37627.303725254416,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2012.0,6539.0,0.8,27041.54128903091,37806.83361063357,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2010.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2021.0,7427.0,5.7,51311.785928730256,71463.30958331155,14974.0,67.6,61.1,7.4,19.846
80903,2021.0,7427.0,5.7,52139.36385337636,72615.89970199196,14974.0,67.6,61.1,7.4,19.846
80903,2013.0,6692.0,0.5,28446.82730725584,40093.42657469116,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2013.0,6692.0,0.5,28366.837130142485,39980.68710261749,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2013.0,6692.0,0.5,28307.607762356267,39897.20825688356,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2020.0,7346.0,3.5,45985.25801838486,63079.529067317846,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2000.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2020.0,7346.0,3.5,46155.739881104324,63313.38478713491,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2020.0,7346.0,3.5,46259.84415009273,63456.1881233489,14650.0,67.6,60.7,7.3,19.148000000000003
80903,2011.0,6576.0,0.8,25641.62196955951,35926.38929139283,12870.0,61.5,54.0,10.2,17.012
80903,2011.0,6576.0,0.8,25723.20629599673,36040.69681355891,12870.0,61.5,54.0,10.2,17.012
80903,2011.0,6576.0,0.8,25723.20629599673,36040.69681355891,12870.0,61.5,54.0,10.2,17.012
80903,2001.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2021.0,7427.0,5.7,52471.645967665056,73078.67797354526,14974.0,67.6,61.1,7.4,19.846
80903,2014.0,6863.0,1.0,29322.955105656005,41911.794525140016,13840.0,63.0,54.9,10.7,17.953
80903,2014.0,6863.0,1.0,29361.694606023517,41967.16554670177,13840.0,63.0,54.9,10.7,17.953
80903,2014.0,6863.0,1.0,29386.324512007974,42002.369486927935,13840.0,63.0,54.9,10.7,17.953
80903,2021.0,7427.0,5.7,53319.356279235704,74259.30701103153,14974.0,67.6,61.1,7.4,19.846
80903,2011.0,6576.0,0.8,25390.46124511393,35574.488854990945,12870.0,61.5,54.0,10.2,17.012
80903,2021.0,7427.0,5.7,53533.97143305275,74558.20732995242,14974.0,67.6,61.1,7.4,19.846
80903,2011.0,6576.0,0.8,25521.82002035927,35758.53518801571,12870.0,61.5,54.0,10.2,17.012
80903,2010.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2012.0,6539.0,0.8,26783.083079970107,37445.482665403695,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2012.0,6539.0,0.8,26772.079877229295,37430.099065380324,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2022.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2021.0,7427.0,5.7,51519.950900328775,71753.22655931408,14974.0,67.6,61.1,7.4,19.846
80903,2010.0,,,,,,,,,
80903,2012.0,6539.0,0.8,26827.56411232659,37507.67168677478,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2001.0,,,,,,,,,
80903,2013.0,6692.0,0.5,28319.331513505702,39913.731904698936,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2013.0,6692.0,0.5,28386.74308261497,40008.74287963735,13466.0,63.0,55.3,10.5,17.105999999999998
80903,2001.0,,,,,,,,,
80903,2011.0,6576.0,0.8,25993.59025584407,36419.53085967174,12870.0,61.5,54.0,10.2,17.012
80903,2011.0,6576.0,0.8,25999.76915293749,36428.18809136454,12870.0,61.5,54.0,10.2,17.012
80903,2001.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2018.0,7027.0,3.1,37935.95313677309,55398.73938104128,13851.0,64.5,57.7,8.2,19.69
80903,2022.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2022.0,,,,,,,,,
80903,2010.0,,,,,,,,,
80903,2011.0,6576.0,0.8,25309.10576671721,35460.501971035716,12870.0,61.5,54.0,10.2,17.012
80903,2012.0,6539.0,0.8,26727.130623479592,37367.25542273165,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2021.0,7427.0,5.7,53163.96552578894,74042.89011345222,14974.0,67.6,61.1,7.4,19.846
80903,2011.0,6576.0,0.8,25871.95752231985,36249.11165060786,12870.0,61.5,54.0,10.2,17.012
80903,2012.0,6539.0,0.8,26670.124668854318,37287.55528218503,13020.0,61.8,53.7,10.8,17.316999999999997
80903,2021.0,7427.0,5.7,52904.00363637482,73680.8341715899,14974.0,67.6,61.1,7.4,19.846
80903,2011.0,6576.0,0.8,25928.139716261892,36327.8283313702,12870.0,61.5,54.0,10.2,17.012
80903,2011.0,6576.0,0.8,25945.646591359924,36352.357154499805,12870.0,61.5,54.0,10.2,17.012
80903,2011.0,6576.0,0.8,25790.602043923132,36135.12476665263,12870.0,61.5,54.0,10.2,17.012
80904,2003.0,,,,,,,,,
80904,2003.0,,,,,,,,,
80904,2003.0,,,,,,,,,
80904,2012.0,9994.0,2.9,38556.48244089815,52823.69195747312,17382.0,67.0,59.5,10.2,18.875
80904,2003.0,,,,,,,,,
80904,2012.0,9994.0,2.9,38492.55445489745,52736.10844294637,17382.0,67.0,59.5,10.2,18.875
80904,2003.0,,,,,,,,,
80904,2012.0,9994.0,2.9,38476.74068993938,52714.44304724765,17382.0,67.0,59.5,10.2,18.875
80904,2002.0,,,,,,,,,
80904,2003.0,,,,,,,,,
80904,2002.0,,,,,,,,,
80904,2004.0,,,,,,,,,
80904,2004.0,,,,,,,,,
80904,2003.0,,,,,,,,,
80904,2012.0,9994.0,2.9,38444.94492848115,52670.88177291726,17382.0,67.0,59.5,10.2,18.875
80904,2002.0,,,,,,,,,
80904,2002.0,,,,,,,,,
80904,2003.0,,,,,,,,,
80904,2002.0,,,,,,,,,
