RegionName,datesubstr,ZHVI_sfr,ZHVI_all,ZHVI_1br,ZHVI_2br,ZHVI_3br,ZHVI_4br,ZHVI_5br,ZHVI_con,ZHVI_sfr_CL,ZHVI_all_CL,ZHVI_1br_CL,ZHVI_2br_CL,ZHVI_3br_CL,ZHVI_4br_CL,ZHVI_5br_CL,ZHVI_con_CL
80903,2016-07,240763.28100516112,241805.84959743745,172457.83755190656,206964.57608156005,269840.2426581043,327874.60072714393,,346067.36654218094,291866.59137237474,285857.89509891195,145532.27546759837,185501.62662000285,255896.39574969735,330584.48503920296,418756.8472062121,152298.37008197
80903,2016-08,241905.50386762837,242887.9078279764,173704.42771107136,208099.47469725978,270868.7973544309,328620.004322965,,346640.74504635204,292852.9315734241,286890.7457255341,147193.38716570113,187028.94966502767,257049.38995126582,331373.2751589913,419190.1032402182,153847.29300623978
80903,2005-07,233879.5873720726,237658.1829857247,181051.03059693825,205682.6399296276,257948.41968724335,309526.5257770398,,397118.5719872534,301296.43731321214,295055.6692276134,140562.01805767487,194875.76918724866,263601.5349149004,344531.83521928336,451780.38556452654,166727.95583667315
80903,2016-06,238952.4996996931,240043.84775730848,170555.17496595267,205271.193951241,268059.843578523,325987.0880274474,,343454.69522014627,289908.1510425096,283880.0652315439,143552.5431555135,183661.5914959819,253908.19219765437,328722.7599950486,416938.80379101983,150529.74743956077
80903,2006-09,235161.1312225059,238996.58178296266,177742.1332545081,207454.88326907172,258990.82385729905,315017.9653066353,,380829.5680802274,304421.9308142047,297876.2302017533,140729.55880083374,194766.67495724902,265467.6615828528,349749.62671094865,459906.5293717008,166297.0914229995
80903,2006-10,236657.9496623775,240502.21822098852,178830.48928889225,209059.0220921908,260535.41730130292,315947.8611000066,,381739.4700016305,306170.9778919441,299573.1199747254,141485.72856708014,195802.5348764136,266965.2397965006,351831.2492723859,462905.62654933066,167111.51339372288
80903,2006-07,233449.15368711884,237311.05725850866,177310.48223270176,205465.08764461233,257706.59271794237,313466.7374015127,,384209.45634000824,302377.50512134546,295912.4452971377,139915.83375926595,193613.04421966927,263758.1572168865,347138.2018808966,456325.14612324326,165238.78074714122
80903,2016-05,237241.33938699416,238423.71845192093,169121.9709939891,203649.12454853163,266443.0672719579,324252.3295569024,,341758.6186767072,288562.98362820316,282501.3756791901,142149.1450418306,182374.86203620094,252476.84609377236,327609.0901873613,416221.93777079927,149299.05660884274
80903,2003-03,223130.92623316636,226137.00657981873,172919.58816364274,195662.27219568187,247273.2628286828,289552.7601549843,,327658.54874894687,290547.44275471097,284871.1938276705,137078.46308984104,190071.5637904913,254952.70730604616,330185.7688372623,428323.8443850542,165440.72730512873
80903,2006-08,233253.76592392902,237084.2841472767,176593.95701873925,205387.64235762236,257144.67643746999,313312.37410876685,,381495.9361363055,302106.2445837681,295628.73986409634,139814.72349338542,193361.80852328363,263478.5412810676,346972.7736342942,456101.97512957256,165073.24411271108
80903,2006-11,236595.71439857298,240435.06108815223,178856.44852080484,209198.6020413354,260335.6532481595,314822.2493286241,,382259.6944132222,305966.9077451438,299360.40327163215,141390.2803813924,195590.16164639164,266746.5621827869,351716.59427749563,463011.0933189563,166826.11221722557
80903,2006-12,235326.00850613604,239130.00567657105,178000.13785553773,208096.08415817548,258811.97586981195,312621.86691942374,,381205.701671122,304476.11043047265,297892.53294976335,140744.62564469222,194500.38859754227,265394.40466734825,350189.4780665825,461221.1335680178,165804.56112070358
80903,2007-08,236317.61769759754,240043.6066684158,180424.53443445457,206010.70840252488,264131.7070212178,317552.16164604196,,364896.3828077125,302914.43480492895,296229.31414935284,141675.44546668688,192406.370439685,263706.33914249943,349172.5188032083,461887.10171066324,163451.96355589989
80903,2007-09,234906.89767726097,238644.4994750723,178152.5040013118,204067.45507621384,263513.1203640841,316713.54485830653,,361026.803168862,300980.34011906787,294321.84459757374,140674.2514032194,191026.900646489,261991.61021451248,346996.7350687655,459132.9024349555,162244.07306892396
